Resume,Requirements,Match
D:\AYU\tutorialexcercises\django\mern_stack_course-main\lesson_13-backend\resumepython\RESUMESPDF\\PaulMcarthyResume.pdf,"P, n  f o r, x p e r i e n c e  t o, n g f u l, n n o v a t, Software Developer, Paris, p m e, m p, n  p r o, P, p p o, n n e r, Data Scientist, m p l e m e, m p, o m, n, m p l e m e, n d  p r o, m p, m p, o m p l, Teamwork, P, n m e, P, P u b l, P a p e r
P u b l, p p l, o m p, Creative Coder & Machine Learning Enthusiast, n m, U n k n o w n
P o",Yes
D:\AYU\tutorialexcercises\django\mern_stack_course-main\lesson_13-backend\resumepython\RESUMESPDF\\RichardBransonResume.pdf,"P, u p, Founder, u p
London, UK, u p, m p, n  
N, o m, n, n c l, p h o n e s, o m p, Founder, Las Cruces, USA, m p, n n, High School
S, Cranleigh, Surr, n s p, n n o v a t, n g n e s s  t, n  p u r s, n - p, n  f o c u s e d  o, n m, U K",Yes
D:\AYU\tutorialexcercises\django\mern_stack_course-main\lesson_13-backend\resumepython\RESUMESPDF\\RupertMurdochResume.pdf,"P, o m p l, x p e r i e n c e, K n o w n  f o r  m, EXPERIENCE, News Corp N, N, n f o r m, o m p, o m p, n, o m, m p, o m p, n, o m, Bachelor of Arts, Oxford University, Business Acumen
S, P l, p m e, N, New York, NY",Yes
D:\AYU\tutorialexcercises\django\mern_stack_course-main\lesson_13-backend\resumepython\RESUMESPDF\\SteveForbesResume.pdf,"P, n n o v a t, n  m, NY, o m, x p, n e  p r e s e n, L, w  p r o d, o m, n, p m e, Hong K, x p, n  o f  F o, n f l u e n c e, n  k, p m e, n d  p, U n, NJSTRENGTHS, n s p, n n o v a t, Media Mogul & Entrepreneur, n m",Yes
D:\AYU\tutorialexcercises\django\mern_stack_course-main\lesson_13-backend\resumepython\RESUMESPDF\\EmerilLagaseeResume.pdf,"WOLF,HUNTING,KILLERBEE",No
D:\AYU\tutorialexcercises\django\mern_stack_course-main\lesson_13-backend\resumepython\RESUMESPDF\\BobbyFlayResume.pdf,"P, n o w n e d, n  p e r s o, x p, x p e r i e n c e, n n o v a t, n o w n  f o r  i t, n n o v a t, n c l, p m e n, n v e n t o, n d  p u r v e y o, I m p l e m e n, p m, m p, N, O p e n e d  a n d  m, n  o p e r a, I m p l e m e n, m p, x p, n  o, N, L A, n n o v, p p, U n, n  f o r  f o o d  
a n d  c, p m e, O p e n i n g  a, o m, k, o m p, n m, N",Yes
D:\AYU\tutorialexcercises\django\mern_stack_course-main\lesson_13-backend\resumepython\RESUMESPDF\\WolfgangPuckResume.pdf,"WOLF,HUNTING,KILLERBEE",No
D:\AYU\tutorialexcercises\django\mern_stack_course-main\lesson_13-backend\resumepython\RESUMESPDF\\JaredKushnerResume.pdf,"P, x p e r i e n c e, o m p l e x  d e a l s  a, Kushner Companies N, p m e, o m p, e m p, The White House, n o, p m e n, o m p, e m p, Bachelor of Arts, Harvard University C, o m p l e x  d e a l s
Strategic, p m e, White House, p m e, m p, White House, n m",Yes
D:\AYU\tutorialexcercises\django\mern_stack_course-main\lesson_13-backend\resumepython\RESUMESPDF\\MarkCubanResume.pdf,"P o w er ed b ySUMMARY
S, n v e s, n n o v a t, EXPERIENCE, Owner, Dallas, TX, O w n  a n d  o p e r a, a m p, m p l e m e, e m p, Dallas, TX, o m p, m p, o m p, o m p, Bachelor of Business Administration, x p e r i e n c e, n n o v, m p, P l, a m p, o m p, n m, n",Yes
D:\AYU\tutorialexcercises\django\mern_stack_course-main\lesson_13-backend\resumepython\RESUMESPDF\\JoelOlstonResume.pdf,"WOLF,HUNTING,KILLERBEE",No
D:\AYU\tutorialexcercises\django\mern_stack_course-main\lesson_13-backend\resumepython\RESUMESPDF\\MichealBloombergResume.pdf,"P, n  m a k, o m m, m p, o m, m p, I m p l e m e n, n  m a k, i m p r o v e d  
e, n d  p r o, o m, N, N, m p, m p, n o, I m p l e m e n, n  m a k, i m p r o v e d  
e, n d  p r o, o m, H o, U n, n  m a, o m m, F, o m p, m p r o v e d  q, n m",Yes
D:\AYU\tutorialexcercises\django\mern_stack_course-main\lesson_13-backend\resumepython\RESUMESPDF\\WarrenBuffetResume.pdf,"P, n v e s t o r, n d  p h, n v e s t, Omaha, Nebraska, o m p, n v e s t m e, n c l, F, n d  p r o, o m p, Omaha, Nebraska, n d  p r e, n v e s t m e, n v e s t  i, o m p, n v e s, n v e s t o r, n, U n, Lincoln, o m p, n v e s t m e, n v e s, F, n d  p r o, o m p, G i v, n m, P, n o, L A N G",Yes
D:\AYU\tutorialexcercises\django\mern_stack_course-main\lesson_13-backend\resumepython\RESUMESPDF\\JeffBezosResume.pdf,", , , P, P, P, m p, m p, p e o p l e ' s  
l, Founder, Amazon S, o m, o m p, s  p r o d, n c l, o m p, o m p, x p, P, Founder, Blue Origin S, N, N, U n, A n n o u n, d  p l, n s p, p m e, n n o v a t, o m p, Blue Origin, Washington Post, U s i n g  a  p l, o, n n o v, Seattle, P, The Washington Post W, P, n e w s p a p, n  n e w, m p, n e w s p a p e r ' s  o n l, n e  p r e s e n c e, n e w s p a p e r ' s, n c l, n g  p l, P, P, n v e s, n e w s p a p e r ', EDUCATION, Bachelor of Science
Princeton University P",Yes
D:\AYU\tutorialexcercises\django\mern_stack_course-main\lesson_13-backend\resumepython\RESUMESPDF\\KrisJennerResume.pdf,"P, P, n d  p r o, Calabasas, n d  p r o, n c l, N, Founder, K, P, Calabasas, o m p, o m p, n d  p r o d, U p  w, o m, n c l, EDUCATION, Bachelor of Science in Business 
Administration, U n, San Diego, p m e n, n n, n f l u e n c e r s, n s p, p m e n, P, m p, n u m e r o, n m",Yes
D:\AYU\tutorialexcercises\django\mern_stack_course-main\lesson_13-backend\resumepython\RESUMESPDF\\MarthaStewartResume.pdf,"P, n o w n e d  l, x p, n  p e r s o, n  s h a r, n s u m e r s, n s p, NY, p m e, n d  p, n d  p r o d, n  
p r o g r, n n i n g  M, L, Founder &, NY, o m p, n c l, Bachelor of Arts, n s p, P, P, p m e, n m",Yes
D:\AYU\tutorialexcercises\django\mern_stack_course-main\lesson_13-backend\resumepython\RESUMESPDF\\AvankaTrumpResume.pdf,"P, x p e r i e n c e, p m e n, n d  p o, P, The Trump Organization N, p m e, a l  p e r f o r m, p r o p, p m e, p r o p, e m p, o m p l, u p a n, S p, F, n o, m p o w e r m, Founder, F, o m p, n c l, F, n  o n l i, N, n d  p r o d, F, S p, p m e, u m p  H, p m e, p m e, P l, n g N, P, Entrepreneurial Success
B, Washington D.C., Bachelor of Science in Economics
Wharton School of the University of 
PennsylvaniaP, P A
LANGUAGES
English N, French",Yes
D:\AYU\tutorialexcercises\django\mern_stack_course-main\lesson_13-backend\resumepython\RESUMESPDF\\MarkZuckerbergResume.pdf,"o m p, p m e, Founder &, F, Menlo Park, p m e, n  m o, m p l e m e, n d  p, w  p r o d, n c l, N, e m p, Co-Founder, NY, p m e, m p l e m e, n d  p, p p o, EDUCATION, Bachelor of Science
H, Cambridge, MASTRENGTHS, n s p, o m m o, n n o v a t, n  n e w  
o p p o r t u n, g  p, P, P l, n n e c t s, P, n n, o m m, Founder &, n m",Yes
